VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,month,LocationID,Borough,Zone,service_zone
1,2023-01-16 01:10:25,01/16/2023 01:18:29 AM,N,1.0,80,256,1.0,1.8,8.0,0.5,1.5,0.0,0.0,,1.0,10.0,2.0,1.0,0.0,1,80,Brooklyn,East Williamsburg,Boro Zone
1,2023-01-17 11:31:31,01/17/2023 12:01:49 PM,N,1.0,33,255,0.0,4.5,31.0,0.0,1.5,6.5,0.0,,1.0,39.0,1.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
2,2023-01-07 19:21:48,01/07/2023 07:45:46 PM,N,1.0,97,61,1.0,4.08,24.0,0.0,0.5,3.82,0.0,,1.0,29.32,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-05 07:49:00,01/05/2023 08:16:00 AM,,,61,138,,10.81,46.41,0.0,0.0,9.48,0.0,,1.0,56.89,,,,1,61,Brooklyn,Crown Heights North,Boro Zone
2,2023-01-14 18:06:04,01/14/2023 06:08:50 PM,N,1.0,52,52,1.0,0.48,5.1,0.0,0.5,1.32,0.0,,1.0,7.92,1.0,1.0,0.0,1,52,Brooklyn,Cobble Hill,Boro Zone
2,2023-01-04 15:25:44,01/04/2023 03:35:31 PM,N,1.0,97,97,1.0,0.95,10.0,0.0,0.5,2.3,0.0,,1.0,13.8,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-12 23:40:15,01/12/2023 11:43:18 PM,N,1.0,255,255,1.0,0.61,5.1,1.0,0.5,1.9,0.0,,1.0,9.5,1.0,1.0,0.0,1,255,Brooklyn,Williamsburg (North Side),Boro Zone
2,2023-01-24 21:19:46,01/24/2023 09:29:46 PM,N,1.0,97,181,1.0,1.75,12.1,1.0,0.5,4.38,0.0,,1.0,18.98,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-22 12:15:55,01/22/2023 12:23:15 PM,N,1.0,97,181,1.0,1.01,9.3,0.0,0.5,2.16,0.0,,1.0,12.96,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-17 19:01:41,01/17/2023 07:27:39 PM,N,1.0,65,188,1.0,4.0,25.4,2.5,0.5,0.0,0.0,,1.0,29.4,2.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-28 15:00:21,01/28/2023 03:14:05 PM,N,1.0,97,189,1.0,1.8,14.2,0.0,0.5,0.0,0.0,,1.0,15.7,2.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-13 00:10:32,01/13/2023 12:22:01 AM,N,1.0,257,227,1.0,2.2,13.5,1.0,0.5,0.0,0.0,,1.0,16.0,2.0,1.0,0.0,1,257,Brooklyn,Windsor Terrace,Boro Zone
2,2023-01-20 20:20:14,01/20/2023 08:46:26 PM,N,1.0,65,85,1.0,4.22,26.1,1.0,0.5,5.72,0.0,,1.0,34.32,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-29 01:13:14,01/29/2023 01:31:05 AM,N,1.0,112,7,1.0,6.4,28.9,1.0,1.5,2.0,0.0,,1.0,33.4,1.0,1.0,0.0,1,112,Brooklyn,Greenpoint,Boro Zone
2,2023-01-13 18:08:13,01/13/2023 06:45:11 PM,N,1.0,55,55,2.0,2.99,31.7,2.5,0.5,0.0,0.0,,1.0,35.7,2.0,1.0,0.0,1,55,Brooklyn,Coney Island,Boro Zone
1,2023-01-03 18:52:57,01/03/2023 06:58:40 PM,N,1.0,150,210,1.0,0.8,6.0,1.0,1.5,0.0,0.0,,1.0,8.5,2.0,1.0,0.0,1,150,Brooklyn,Manhattan Beach,Boro Zone
2,2023-01-24 12:56:07,01/24/2023 01:17:08 PM,N,1.0,66,79,1.0,3.29,22.6,0.0,0.5,5.23,0.0,,0.3,31.38,1.0,1.0,2.75,1,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
1,2023-01-05 18:57:34,01/05/2023 07:09:33 PM,N,1.0,97,49,1.0,1.5,10.7,2.5,1.5,2.9,0.0,,1.0,17.6,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-24 19:41:57,01/24/2023 08:08:50 PM,N,1.0,97,61,1.0,3.2,25.4,2.5,0.5,5.88,0.0,,1.0,35.28,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-23 09:16:00,01/23/2023 09:57:00 AM,,,39,170,,14.58,66.04,0.0,0.0,1.47,6.55,,1.0,77.81,,,,1,39,Brooklyn,Canarsie,Boro Zone
2,2023-01-04 12:19:53,01/04/2023 12:24:19 PM,N,1.0,97,97,1.0,0.7,6.5,0.0,0.5,0.0,0.0,,1.0,8.0,2.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-22 11:19:07,01/22/2023 11:29:34 AM,N,1.0,97,181,1.0,1.69,12.1,0.0,0.5,2.72,0.0,,1.0,16.32,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-20 21:03:25,01/20/2023 09:26:53 PM,N,5.0,97,37,3.0,3.39,30.0,0.0,0.0,2.0,0.0,,0.3,32.3,1.0,2.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-24 01:02:34,01/24/2023 01:06:14 AM,N,1.0,89,71,1.0,0.53,5.1,1.0,0.5,1.52,0.0,,1.0,9.12,1.0,1.0,0.0,1,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone
2,2023-01-11 09:36:11,01/11/2023 10:04:06 AM,N,1.0,55,39,1.0,10.56,46.4,0.0,0.5,0.0,0.0,,1.0,47.9,2.0,1.0,0.0,1,55,Brooklyn,Coney Island,Boro Zone
2,2023-01-01 01:23:22,01/01/2023 01:54:19 AM,N,1.0,66,41,1.0,10.96,46.4,1.0,0.5,10.33,0.0,,1.0,61.98,1.0,1.0,2.75,1,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
2,2023-01-15 14:03:11,01/15/2023 02:10:29 PM,N,1.0,97,97,1.0,0.94,8.6,0.0,0.5,2.52,0.0,,1.0,12.62,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
